id,text_content,label,audio_url,quality_score,version_tag,submitted_at,annotation_json
1a2db9f7-9e4c-40ef-b9a7-a986ca5cee98,"Stallone had his first starring role in the softcore pornography feature film The Party at Kitty and Stud's (1970). He was paid US$200 for two days' work. [ 43 ] Stallone later explained that he had done the film out of desperation after being evicted from his apartment and finding himself homeless for several days. He has also said that he slept three weeks in the Port Authority Bus Terminal in New York City prior to seeing a casting notice for the film. In the actor's words, ""it was either do that movie or rob someone, because I was at the end – the very end – of my rope"". [ 44 ] The film was released several years later as Italian Stallion , in order to cash in on Stallone's newfound fame (the new title was taken from Stallone's nickname since Rocky ). Stallone also starred in the erotic off-Broadway stage play Score which ran for 23 performances at the Martinique Theatre from October 28 to November 15, 1971, and was later made into the 1974 film Score by Radley Metzger . [ 45 ]",neutral,,0.939,gtgg,2026-06-10 23:20:12.128318+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
1c4c7c1e-8d08-41b0-8c3f-92fc21334129,"Regarded as an icon of action cinema, Stallone is credited with helping redefine the Hollywood action hero. [ 6 ] [ 7 ] [ 8 ] He has occasionally ventured from the action genre, with mixed results. He starred in the comedies Oscar (1991) and Stop! Or My Mom Will Shoot (1992), the first film failed at box office [ 9 ] but the second one had modest success. He also starred in the 1997 drama Cop Land , for which he temporarily shed his sculpted physique and gained weight for his role as a powerless sheriff. In television, he has starred in the Paramount+ crime series Tulsa King (2022–present). In addition to his film work, Stallone is a noted art collector and painter, and has written books on fitness.",positive,,0.941,gtgg,2026-06-10 23:20:08.431326+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
500e8167-c18c-42c3-938e-32ae5772b07f,"After moving to New York City, Stallone shared an apartment with his girlfriend, Sasha Czack, an aspiring actress who supported them by working as a waitress. [ 46 ] Stallone took odd jobs around this time, including being a cleaner at a zoo, and a theater usher; he was fired from the latter for scalping tickets. He furthered his writing skills by frequenting a local library, and became interested in the works of Edgar Allan Poe . [ 47 ]",neutral,,0.951,gtgg,2026-06-10 23:20:12.885148+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
334a6210-2e41-4021-b95d-ea3122f3f243,"Stallone happened to be acting in a play that a friend invited him to partake in, and an agent in attendance thought that Stallone fit the role of Stanley, a main character in The Lords of Flatbush , which had a start-stop schedule from 1972 to 1974 over budget issues. [ 50 ] Stallone, around mid-1973, achieved his first proper starring role, in the independent film No Place to Hide , playing a man who is associated with a New York–based urban terrorist movement, with a jewelry-seller as his love interest. The film was re-cut and retitled Rebel years later, this second version featuring Stallone as its star. In 1990, this film was re-edited with outtakes from the original film and newly shot matching footage, then redubbed – in the style of Woody Allen 's What's Up, Tiger Lily? – into a parody of itself titled A Man Called... Rainbo .",neutral,,0.942,gtgg,2026-06-10 23:30:12.469658+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
55cfdd98-f861-4554-b6f0-a319aaac4500,"Stallone next appeared in John Landis ' period comedy Oscar which was both a critical and box-office failure. [ 73 ] In 1992, he appeared in Roger Spottiswoode 's action comedy Stop! Or My Mom Will Shoot [ 74 ] which was also both a critical and box-office disaster. Stallone signed onto the film based on rumors that Schwarzenegger was interested in the lead. Schwarzenegger said that, knowing the script's quality was poor, he publicly faked interest in starring for producers to lure Stallone. [ 64 ]",positive,,0.943,gtgg,2026-06-10 23:30:21.549410+00:00,"{""sentiment"": ""positive""}"
0938a860-dd61-4b2c-87a2-647289ec4a93,"Regarded as an icon of action cinema, Stallone is credited with helping redefine the Hollywood action hero. [ 6 ] [ 7 ] [ 8 ] He has occasionally ventured from the action genre, with mixed results. He starred in the comedies Oscar (1991) and Stop! Or My Mom Will Shoot (1992), the first film failed at box office [ 9 ] but the second one had modest success. He also starred in the 1997 drama Cop Land , for which he temporarily shed his sculpted physique and gained weight for his role as a powerless sheriff. In television, he has starred in the Paramount+ crime series Tulsa King (2022–present). In addition to his film work, Stallone is a noted art collector and painter, and has written books on fitness.",positive,,0.941,gtgg,2026-06-10 23:30:05.907997+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
8642fee2-bf04-4153-a210-3c77e7c1dc50,"In 2008, Stallone reprised his other famous role in the fourth installment of the Rambo franchise , titled simply Rambo ( John Rambo in some countries where the first film was titled Rambo ). The film opened in 2,751 theaters on January 25, 2008, grossing US$6,490,000 on its opening day and US$18,200,000 over its opening weekend. Its box office was US$113,244,290 worldwide with a budget of US$50 million.",positive,,0.943,gtgg,2026-06-10 23:30:24.160340+00:00,"{""label"": ""positive"", ""sentiment"": ""positive""}"
3c4c2edd-ecfd-42ef-b88f-d94c956f8945,"In 1972, Stallone was on the verge of giving up on having an acting career; in what he later described as a low point, he tried and failed to get a job as an extra in The Godfather . [ 48 ] [ 49 ] Instead, he was relegated to a background role in another Hollywood hit, What's Up, Doc? , starring Barbra Streisand . Stallone is hardly visible in his two appearances.",neutral,,0.945,gtgg,2026-06-10 23:30:11.819858+00:00,"{""sentiment"": ""neutral""}"
174fede6-c51a-4636-b18e-6e8eca8f7ae5,"Sylvester Gardenzio Stallone [ 10 ] [ 11 ] [ 12 ] was born in the Hell's Kitchen neighborhood of New York City's Manhattan borough [ 13 ] on July 6, 1946, [ 14 ] the elder son of celebrity astrologer and women's professional wrestling promoter Jacqueline ""Jackie"" Stallone (née Labofish; 1921–2020) and hairdresser Francesco ""Frank"" Stallone Sr. (1919–2011), [ 15 ] [ 16 ] who opened up and ran a group of hair salons in Maryland and was an avid polo player. [ 15 ] [ 17 ] His mother was an American from Washington, D.C. , with Breton French [ 18 ] and Ukrainian Jewish ancestry, [ 19 ] [ 20 ] [ 21 ] while his father was an Italian immigrant from Gioia del Colle [ 16 ] who moved to the U.S. in the 1930s. [ 22 ] [ 23 ] His younger brother is actor and musician Frank Stallone . [ 16 ] Many biographies of Stallone indicate that his birth name is ""Michael Sylvester Gardenzio Stallone"" and his mother explained in an interview that she originally named him ""Tyrone"" because she admired the actor Tyrone Power , but Stallone's father changed it to ""Sylvester"". His nickname as a child was ""Binky"" but he chose to go by the nickname of Mike/Michael after schoolmates began calling him ""Stinky"". [ 10 ] [ 11 ] [ 12 ] His middle name ""Gardenzio"" is an alteration of the Italian given name "" Gaudenzio "" and he usually shortened it to ""Enzio"". [ 24 ]",neutral,,0.931,gtgg,2026-06-10 23:20:09.045462+00:00,"{""sentiment"": ""neutral""}"
80010f17-30fc-48ea-8058-7db12d330836,"Stallone occasionally attempted, albeit unsuccessfully, roles in different genres. In 1984, he co-wrote and starred alongside Dolly Parton in the comedy film Rhinestone , where he played a wannabe country music singer. For the Rhinestone soundtrack , he performed a song. Stallone turned down the lead male role in Romancing the Stone in order to make Rhinestone instead, a decision he later regretted. [ 66 ]",neutral,,0.945,data for test,2026-06-10 23:30:18.322568+00:00,"{""label"": ""neutral"", ""sentiment"": ""neutral""}"
